1837.3096139784839,1646.2739622889264
2029.475778071773,1720.8796495251445
2040.7796700772606,1745.7482119372173
2065.648232489333,1741.2266551350222
2149.2970333299413,1797.7461151624602
2196.773379752989,1775.1383311514849
2214.8596069617693,1788.7030015580701
2434.1551118682282,1727.6619847284371
2463.5452310824962,1759.3128823438024
2621.799719159322,1702.7934223163643
2823.008996857002,1725.4012063273397
2917.9616897030974,1677.9248599042917
2587.8880431428597,2184.339221750136
2709.9700768021257,2173.035329744648
